match_id,date,kickoff_time_utc,stage_id,venue_id,home_team_id,away_team_id,home_score,away_score,home_penalty_score,away_penalty_score,status,result_type,home_xg,away_xg,referee_id,player_of_the_match_id
1,6/11/2026,19:00,1,1,1,2,2,0,,,Completed,Regular,1.84,0.52,1,16
2,6/11/2026,23:00,1,7,3,4,2,1,,,Completed,Regular,1.45,1.12,2,58
3,6/12/2026,19:00,1,6,5,6,1,1,,,Completed,Regular,1.35,0.98,3,112
4,6/12/2026,23:00,1,3,13,14,4,1,,,Completed,Regular,2.76,0.88,4,332
5,6/13/2026,15:00,1,10,7,8,1,1,,,Completed,Regular,0.78,1.54,5,157
6,6/13/2026,18:00,1,2,9,10,1,1,,,Completed,Regular,1.62,1.1,6,215
7,6/13/2026,21:00,1,14,11,12,0,1,,,Completed,Regular,1.25,0.65,7,293
8,6/13/2026,23:59,1,16,15,16,2,0,,,Completed,Regular,1.48,0.72,8,381
9,6/14/2026,15:00,1,9,17,18,7,1,,,Completed,Regular,4.82,0.44,9,423
10,6/14/2026,18:00,1,15,21,22,2,2,,,Completed,Regular,1.95,1.82,10,524
11,6/14/2026,21:00,1,11,19,20,1,0,,,Completed,Regular,1.1,0.95,11,479
12,6/14/2026,23:59,1,12,23,24,5,1,,,Completed,Regular,3.12,0.78,12,581
13,6/15/2026,15:00,1,13,29,30,0,0,,,Completed,Regular,2.15,0.35,13,755
14,6/15/2026,18:00,1,4,25,26,1,1,,,Completed,Regular,1.58,1.12,14,658
15,6/15/2026,21:00,1,8,31,32,1,1,,,Completed,Regular,0.85,1.76,15,801
16,6/15/2026,23:59,1,5,27,28,2,2,,,Completed,Regular,1.88,1.2,16,699
17,6/16/2026,15:00,1,2,33,34,3,1,,,Completed,Regular,2.44,1.05,1,843
18,6/16/2026,18:00,1,10,35,36,1,4,,,Completed,Regular,0.68,2.85,2,919
19,6/16/2026,21:00,1,3,37,38,3,0,,,Completed,Regular,2.65,0.42,3,946
20,6/16/2026,23:59,1,15,39,40,3,1,,,Completed,Regular,1.98,0.88,4,1023
21,6/17/2026,15:00,1,9,41,42,1,1,,,Completed,Regular,1.78,1.15,5,1055
22,6/17/2026,18:00,1,13,45,46,4,2,,,Completed,Regular,2.92,1.64,6,1153
23,6/17/2026,21:00,1,11,47,48,1,0,,,Completed,Regular,1.3,0.75,7,1207
24,6/17/2026,23:59,1,16,43,44,1,3,,,Completed,Regular,0.95,2.1,8,1125
25,6/18/2026,15:00,1,9,1,3,1,0,,,Completed,Regular,1.62,0.58,9,7
26,6/18/2026,18:00,1,3,4,2,1,1,,,Completed,Regular,1.35,1.15,10,96
27,6/18/2026,21:00,1,5,5,7,6,0,,,Completed,Regular,3.82,0.22,11,114
28,6/18/2026,23:59,1,1,8,6,4,1,,,Completed,Regular,2.45,0.88,12,191
29,6/19/2026,15:00,1,2,9,11,3,0,,,Completed,Regular,1.16,0.9,13,217
30,6/19/2026,18:00,1,4,12,10,0,1,,,Completed,Regular,0.97,0.54,14,245
31,6/19/2026,21:00,1,6,13,15,2,0,,,Completed,Regular,1.21,0.32,15,332
32,6/19/2026,23:59,1,8,16,14,0,1,,,Completed,Regular,0.4,0.3,16,361
